Year,Series,Area,Species,Value
2003,C3aii (interim),South-east England (right axis),,940.0
2004,C3aii (interim),South-east England (right axis),,1176.0
2005,C3aii (interim),South-east England (right axis),,1276.0
2006,C3aii (interim),South-east England (right axis),,1416.0
2007,C3aii (interim),South-east England (right axis),,1659.0
2008,C3aii (interim),South-east England (right axis),,1953.0
2009,C3aii (interim),South-east England (right axis),,2268.0
2010,C3aii (interim),South-east England (right axis),,2608.0
2011,C3aii (interim),South-east England (right axis),,2911.0
2012,C3aii (interim),South-east England (right axis),,3385.0
2013,C3aii (interim),South-east England (right axis),,4018.0
2014,C3aii (interim),South-east England (right axis),,5055.0
2015,C3aii (interim),South-east England (right axis),,5500.0
2016,C3aii (interim),South-east England (right axis),,5918.0
2017,C3aii (interim),South-east England (right axis),,6558.0
2018,C3aii (interim),South-east England (right axis),,7147.0
2019,C3aii (interim),South-east England (right axis),,7902.0
1992,C3b (interim),Greater North Sea,Breeding seabirds,86.3636363636364
1993,C3b (interim),Greater North Sea,Breeding seabirds,86.3636363636364
1994,C3b (interim),Greater North Sea,Breeding seabirds,81.8181818181818
1995,C3b (interim),Greater North Sea,Breeding seabirds,86.3636363636364
1996,C3b (interim),Greater North Sea,Breeding seabirds,86.3636363636364
1997,C3b (interim),Greater North Sea,Breeding seabirds,90.9090909090909
1998,C3b (interim),Greater North Sea,Breeding seabirds,77.2727272727273
1999,C3b (interim),Greater North Sea,Breeding seabirds,86.3636363636364
2000,C3b (interim),Greater North Sea,Breeding seabirds,72.7272727272727
2001,C3b (interim),Greater North Sea,Breeding seabirds,81.8181818181818
2002,C3b (interim),Greater North Sea,Breeding seabirds,68.1818181818182
2003,C3b (interim),Greater North Sea,Breeding seabirds,72.7272727272727
2004,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
2005,C3b (interim),Greater North Sea,Breeding seabirds,57.1428571428571
2006,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
2007,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
2008,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
2009,C3b (interim),Greater North Sea,Breeding seabirds,68.1818181818182
2010,C3b (interim),Greater North Sea,Breeding seabirds,72.7272727272727
2011,C3b (interim),Greater North Sea,Breeding seabirds,68.1818181818182
2012,C3b (interim),Greater North Sea,Breeding seabirds,54.5454545454545
2013,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
2014,C3b (interim),Greater North Sea,Breeding seabirds,59.0909090909091
1992,C3b (interim),Celtic Seas,Breeding seabirds,84.2105263157895
1993,C3b (interim),Celtic Seas,Breeding seabirds,94.7368421052632
1994,C3b (interim),Celtic Seas,Breeding seabirds,100.0
1995,C3b (interim),Celtic Seas,Breeding seabirds,100.0
1996,C3b (interim),Celtic Seas,Breeding seabirds,100.0
1997,C3b (interim),Celtic Seas,Breeding seabirds,94.7368421052632
1998,C3b (interim),Celtic Seas,Breeding seabirds,100.0
1999,C3b (interim),Celtic Seas,Breeding seabirds,100.0
2000,C3b (interim),Celtic Seas,Breeding seabirds,94.7368421052632
2001,C3b (interim),Celtic Seas,Breeding seabirds,94.4444444444444
2002,C3b (interim),Celtic Seas,Breeding seabirds,94.4444444444444
2003,C3b (interim),Celtic Seas,Breeding seabirds,94.4444444444444
2004,C3b (interim),Celtic Seas,Breeding seabirds,84.2105263157895
2005,C3b (interim),Celtic Seas,Breeding seabirds,73.6842105263158
2006,C3b (interim),Celtic Seas,Breeding seabirds,66.6666666666667
2007,C3b (interim),Celtic Seas,Breeding seabirds,73.6842105263158
2008,C3b (interim),Celtic Seas,Breeding seabirds,61.1111111111111
2009,C3b (interim),Celtic Seas,Breeding seabirds,63.1578947368421
2010,C3b (interim),Celtic Seas,Breeding seabirds,63.1578947368421
2011,C3b (interim),Celtic Seas,Breeding seabirds,57.8947368421053
2012,C3b (interim),Celtic Seas,Breeding seabirds,61.1111111111111
2013,C3b (interim),Celtic Seas,Breeding seabirds,63.1578947368421
2014,C3b (interim),Celtic Seas,Breeding seabirds,68.4210526315789
2015,C3b (interim),Celtic Seas,Breeding seabirds,63.1578947368421
1992,C3b (interim),Greater North Sea,Wintering waterbirds,100.0
1993,C3b (interim),Greater North Sea,Wintering waterbirds,78.2608695652174
1994,C3b (interim),Greater North Sea,Wintering waterbirds,93.4782608695652
1995,C3b (interim),Greater North Sea,Wintering waterbirds,89.1304347826087
1996,C3b (interim),Greater North Sea,Wintering waterbirds,89.1304347826087
1997,C3b (interim),Greater North Sea,Wintering waterbirds,78.2608695652174
1998,C3b (interim),Greater North Sea,Wintering waterbirds,86.9565217391304
1999,C3b (interim),Greater North Sea,Wintering waterbirds,82.6086956521739
2000,C3b (interim),Greater North Sea,Wintering waterbirds,84.7826086956522
2001,C3b (interim),Greater North Sea,Wintering waterbirds,86.9565217391304
2002,C3b (interim),Greater North Sea,Wintering waterbirds,82.6086956521739
2003,C3b (interim),Greater North Sea,Wintering waterbirds,84.7826086956522
2004,C3b (interim),Greater North Sea,Wintering waterbirds,84.7826086956522
2005,C3b (interim),Greater North Sea,Wintering waterbirds,82.6086956521739
2006,C3b (interim),Greater North Sea,Wintering waterbirds,82.6086956521739
2007,C3b (interim),Greater North Sea,Wintering waterbirds,76.0869565217391
2008,C3b (interim),Greater North Sea,Wintering waterbirds,80.4347826086957
2009,C3b (interim),Greater North Sea,Wintering waterbirds,82.6086956521739
2010,C3b (interim),Greater North Sea,Wintering waterbirds,71.1111111111111
2011,C3b (interim),Greater North Sea,Wintering waterbirds,76.0869565217391
2012,C3b (interim),Greater North Sea,Wintering waterbirds,78.2608695652174
2013,C3b (interim),Greater North Sea,Wintering waterbirds,76.0869565217391
2014,C3b (interim),Greater North Sea,Wintering waterbirds,78.2608695652174
1992,C3b (interim),Celtic Seas,Wintering waterbirds,100.0
1993,C3b (interim),Celtic Seas,Wintering waterbirds,82.5
1994,C3b (interim),Celtic Seas,Wintering waterbirds,82.5
1995,C3b (interim),Celtic Seas,Wintering waterbirds,90.0
1996,C3b (interim),Celtic Seas,Wintering waterbirds,80.0
1997,C3b (interim),Celtic Seas,Wintering waterbirds,90.0
1998,C3b (interim),Celtic Seas,Wintering waterbirds,85.0
1999,C3b (interim),Celtic Seas,Wintering waterbirds,82.5
2000,C3b (interim),Celtic Seas,Wintering waterbirds,85.0
2001,C3b (interim),Celtic Seas,Wintering waterbirds,90.0
2002,C3b (interim),Celtic Seas,Wintering waterbirds,70.0
2003,C3b (interim),Celtic Seas,Wintering waterbirds,80.0
2004,C3b (interim),Celtic Seas,Wintering waterbirds,82.5
2005,C3b (interim),Celtic Seas,Wintering waterbirds,80.0
2006,C3b (interim),Celtic Seas,Wintering waterbirds,67.5
2007,C3b (interim),Celtic Seas,Wintering waterbirds,70.0
2008,C3b (interim),Celtic Seas,Wintering waterbirds,62.5
2009,C3b (interim),Celtic Seas,Wintering waterbirds,60.0
2010,C3b (interim),Celtic Seas,Wintering waterbirds,62.5
2011,C3b (interim),Celtic Seas,Wintering waterbirds,65.0
2012,C3b (interim),Celtic Seas,Wintering waterbirds,50.0
2013,C3b (interim),Celtic Seas,Wintering waterbirds,55.0
2014,C3b (interim),Celtic Seas,Wintering waterbirds,55.0
2015,C3b (interim),Celtic Seas,Wintering waterbirds,52.5
