Component,Subcomponent,primary_goal,Indicator component assessed
H3b,Dioxin-like Polychlorinated Biphenyls,Managing exposure to chemicals,"H3b Emissions of dioxin-like polychlorinated biphenyl to air, land and water, England"
H3b,Dioxins and Furans,Managing exposure to chemicals,"H3b Emissions of dioxins and furans to air, land and water, England"
H3b,Hexachlorobenzene,Managing exposure to chemicals,"H3b Emissions of hexachlorobenzene to air, land and water, England"
H3b,Pentachlorophenol,Managing exposure to chemicals,"H3b Emissions of pentachlorophenol to air, land and water, England"
H3b,Polychlorinated Biphenyls,Managing exposure to chemicals,"H3b Emissions of polychlorinated biphenyl to air, land and water, England"
H3b,Polychlorinated Naphthalenes,Managing exposure to chemicals,"H3b Emissions of polychlorinated naphthalenes to air, land and water, England"
H3b,Pentachlorobenzine,Managing exposure to chemicals,"H3b Emissions of pentachlorobenzine to air, land and water, England"
H4,,Managing exposure to chemicals,H4 Exposure of wildlife to chemicals in the environment in England and for some marine components in the UK
J5,,Managing exposure to chemicals,J5 Total bank of in-use polychlorinated biphenyls remaining in the UK
H1,Freshwater,Enhancing biosecurity,H1 Number of invasive non-native species established across or along 10% or more of the land area or coastline of Great Britain (freshwater)
H1,Marine (Coastal),Enhancing biosecurity,H1 Number of invasive non-native species established across or along 10% or more of the land area or coastline of Great Britain (marine)
H1,Terrestrial,Enhancing biosecurity,H1 Number of invasive non-native species established across or along 10% or more of the land area or coastline of Great Britain (terrestrial)
H2,,Enhancing biosecurity,H2 Number of additional tree pests and diseases becoming established in England
