Year,Series,Source,Pollutant,Value
2007,H3b (interim),,Polychlorinated biphenyl,32.56469292574062
2007,H3b (interim),,Polychlorinated naphthalenes,31.772235432621336
2007,H3b (interim),,Pentachlorophenol,67.4979491802166
2007,H3b (interim),,PentaChloroBenzine,25.388062231835924
2008,H3b (interim),,Dioxin-like Polychlorinated biphenyl,30.461631372946464
2008,H3b (interim),,Dioxins and Furans,60.14413958686803
2008,H3b (interim),,Hexachlorobenzene,70.4013869774518
2008,H3b (interim),,Polychlorinated biphenyl,28.296430461218325
2008,H3b (interim),,Polychlorinated naphthalenes,27.644463590597272
2008,H3b (interim),,Pentachlorophenol,63.71493251034073
2008,H3b (interim),,PentaChloroBenzine,23.14835691581965
2009,H3b (interim),,Dioxin-like Polychlorinated biphenyl,26.148652814432083
2009,H3b (interim),,Dioxins and Furans,55.08471916645515
2009,H3b (interim),,Hexachlorobenzene,49.78122403114979
2009,H3b (interim),,Polychlorinated biphenyl,24.185047382083077
2009,H3b (interim),,Polychlorinated naphthalenes,24.08727769163641
2009,H3b (interim),,Pentachlorophenol,60.10700582682799
2009,H3b (interim),,PentaChloroBenzine,20.02986344929109
2010,H3b (interim),,Dioxin-like Polychlorinated biphenyl,24.17565046621229
2010,H3b (interim),,Dioxins and Furans,56.63273024107966
2010,H3b (interim),,Hexachlorobenzene,47.90050118983202
2010,H3b (interim),,Polychlorinated biphenyl,21.405214919695737
2010,H3b (interim),,Polychlorinated naphthalenes,21.814971777233087
2010,H3b (interim),,Pentachlorophenol,56.6615762998789
2010,H3b (interim),,PentaChloroBenzine,18.737042056123457
2011,H3b (interim),,Dioxin-like Polychlorinated biphenyl,22.13614416030845
2011,H3b (interim),,Dioxins and Furans,52.22690100549247
2011,H3b (interim),,Hexachlorobenzene,34.16560036999599
2011,H3b (interim),,Polychlorinated biphenyl,19.42805217114305
2011,H3b (interim),,Polychlorinated naphthalenes,19.99068104798339
2011,H3b (interim),,Pentachlorophenol,53.37254916075938
2011,H3b (interim),,PentaChloroBenzine,17.095581688752514
2012,H3b (interim),,Dioxin-like Polychlorinated biphenyl,20.94248445779004
2012,H3b (interim),,Dioxins and Furans,51.142808240624674
2012,H3b (interim),,Hexachlorobenzene,31.84034300730336
2012,H3b (interim),,Polychlorinated biphenyl,17.633673366261267
2012,H3b (interim),,Polychlorinated naphthalenes,18.1777166049492
2012,H3b (interim),,Pentachlorophenol,50.22530470324214
2012,H3b (interim),,PentaChloroBenzine,16.832275823865018
2013,H3b (interim),,Dioxin-like Polychlorinated biphenyl,20.424971554040813
2013,H3b (interim),,Dioxins and Furans,51.19766141562491
2013,H3b (interim),,Hexachlorobenzene,26.718684593053176
2013,H3b (interim),,Polychlorinated biphenyl,16.227169509493617
2013,H3b (interim),,Polychlorinated naphthalenes,17.083971719168034
2013,H3b (interim),,Pentachlorophenol,47.19949695456876
2013,H3b (interim),,PentaChloroBenzine,18.27561206109205
2014,H3b (interim),,Dioxin-like Polychlorinated biphenyl,19.00618624717877
2014,H3b (interim),,Dioxins and Furans,50.12031937062849
2014,H3b (interim),,Hexachlorobenzene,31.24219440507285
2014,H3b (interim),,Polychlorinated biphenyl,14.9985531325385
2014,H3b (interim),,Polychlorinated naphthalenes,16.911330061238626
2014,H3b (interim),,Pentachlorophenol,44.29572270419658
2014,H3b (interim),,PentaChloroBenzine,18.37414887325267
2015,H3b (interim),,Dioxin-like Polychlorinated biphenyl,16.541861048923
2015,H3b (interim),,Dioxins and Furans,49.878803039495295
2015,H3b (interim),,Hexachlorobenzene,35.1424456761662
2015,H3b (interim),,Polychlorinated biphenyl,13.914366553330243
2015,H3b (interim),,Polychlorinated naphthalenes,17.278930571431218
2015,H3b (interim),,Pentachlorophenol,41.502355291171206
2015,H3b (interim),,PentaChloroBenzine,17.286395233469793
2016,H3b (interim),,Dioxin-like Polychlorinated biphenyl,13.269499015304644
2016,H3b (interim),,Dioxins and Furans,48.49462140426503
2016,H3b (interim),,Hexachlorobenzene,42.29949130705703
2016,H3b (interim),,Polychlorinated biphenyl,12.734420815328413
2016,H3b (interim),,Polychlorinated naphthalenes,17.72436439996089
2016,H3b (interim),,Pentachlorophenol,38.80523278018855
2016,H3b (interim),,PentaChloroBenzine,15.391710070730603
2017,H3b (interim),,Dioxin-like Polychlorinated biphenyl,12.135864616996113
2017,H3b (interim),,Dioxins and Furans,48.262342311573526
2017,H3b (interim),,Hexachlorobenzene,45.86235789407874
2017,H3b (interim),,Polychlorinated biphenyl,12.028486317195425
2017,H3b (interim),,Polychlorinated naphthalenes,17.751428827490397
2017,H3b (interim),,Pentachlorophenol,36.20344580541589
2017,H3b (interim),,PentaChloroBenzine,14.418060856897863
2018,H3b (interim),,Dioxin-like Polychlorinated biphenyl,11.39787380411302
2018,H3b (interim),,Dioxins and Furans,48.55976724431418
2018,H3b (interim),,Hexachlorobenzene,48.490614540911096
2018,H3b (interim),,Polychlorinated biphenyl,11.47539004169784
2018,H3b (interim),,Polychlorinated naphthalenes,17.77550489254255
2018,H3b (interim),,Pentachlorophenol,33.70130991510714
2018,H3b (interim),,PentaChloroBenzine,14.179649786538812
2019,H3b (interim),,Dioxin-like Polychlorinated biphenyl,10.735260625691126
2019,H3b (interim),,Dioxins and Furans,47.88610888369504
2019,H3b (interim),,Hexachlorobenzene,51.50274712167987
2019,H3b (interim),,Polychlorinated biphenyl,10.910081957269838
2019,H3b (interim),,Polychlorinated naphthalenes,18.2604001751937
2019,H3b (interim),,Pentachlorophenol,31.27971937309618
2019,H3b (interim),,PentaChloroBenzine,14.066673788368398
