broad pollutant category,chemical,wildlife,value
Metals,Zinc,Blue mussel,Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2011–2022.
Pesticides and biocides,Pesticides,Blue mussel,
Pesticides and biocides,SGARs,Blue mussel,
PBT substances,Mercury,Estuarine/coastal fish,Data available; not currently able to assess trends. More than 75% of sites above threshold for most-recent year. Time period: 2018–2022.  
PBT substances,PBDEs,Estuarine/coastal fish,Data available; not currently able to assess trends. All sites below threshold for most-recent year. Time period: 2017–2022. 
PBT substances,PCBs,Estuarine/coastal fish,Data available; not currently able to assess trends. More than 75% of sites above threshold for most-recent year. Time period: 2018–2022. 
PBT substances,PCB 118,Estuarine/coastal fish,Data available; not currently able to assess trends. More than 75% of sites above threshold for most-recent year. Time period: 2018–2022. 
PBT substances,PFOS,Estuarine/coastal fish,Data available; not currently able to assess trends. All sites below threshold for most-recent year. Time period: 2017–2022. 
PBT substances,PFAS,Estuarine/coastal fish,
Metals,Lead,Estuarine/coastal fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2022. 
Metals,Cadmium,Estuarine/coastal fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2022. 
Metals,Nickel,Estuarine/coastal fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2022. 
Metals,Copper,Estuarine/coastal fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2022. 
Metals,Zinc,Estuarine/coastal fish,Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2018–2022. 
Pesticides and biocides,Pesticides,Estuarine/coastal fish,
Pesticides and biocides,SGARs,Estuarine/coastal fish,
PBT substances,Mercury,Offshore fish (common dab),No observed change in concentrations. More than 75% of samples above threshold for most-recent 2 years. Time period: 2008–2022.
PBT substances,PBDEs,Offshore fish (common dab),Decreasing concentrations. 1 to 24% of samples above threshold for most-recent 2 years.  Time period: 2008–2022.
PBT substances,PCBs,Offshore fish (common dab),No observed change in concentrations. More than 75% of samples above threshold for most-recent 2 years. Time period: 2008–2022.
PBT substances,PCB 118,Offshore fish (common dab),No observed change in concentrations. More than 75% of samples above threshold for most-recent 2 years. Time period: 2008–2022.
PBT substances,PFOS,Offshore fish (common dab),Data available; not currently able to assess trends. All samples below threshold for most-recent 2 years. Time period: 2014–2022.
PBT substances,PFAS,Offshore fish (common dab),Data available; not currently able to assess trends. No threshold available; not currently able to assess risk. Time period: 2014–2022.
Metals,Lead,Offshore fish (common dab),Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2008–2022.
Metals,Cadmium,Offshore fish (common dab),Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2008–2022.
Metals,Nickel,Offshore fish (common dab),No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2008–2022.
Metals,Copper,Offshore fish (common dab),No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2008–2022.
Metals,Zinc,Offshore fish (common dab),No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2008–2022.
Pesticides and biocides,Pesticides,Offshore fish (common dab),
Pesticides and biocides,SGARs,Offshore fish (common dab),
PBT substances,Mercury,Harbour porpoise,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2009 and 2011–2021.
PBT substances,PBDEs,Harbour porpoise,Decreasing concentrations. All individuals below threshold for most-recent year. Time period: 2004–2008 and 2010–2021.
PBT substances,PCBs,Harbour porpoise,No observed change in concentrations. 25 to 49% of samples above threshold for most-recent year.  Time period: 2004–2021.
PBT substances,PCB 118,Harbour porpoise,Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2004–2021.
PBT substances,PFOS,Harbour porpoise,"Decreasing concentrations. All individuals below threshold for most-recent year. Time period: 2001–2003, 2009 and 2012–2021."
PBT substances,PFAS,Harbour porpoise,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2009 and 2012–2021.
Metals,Lead,Harbour porpoise,Increasing concentrations. No threshold available; not currently able to assess risk. Time period: 2009 and 2011–2021.
Metals,Cadmium,Harbour porpoise,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2009 and 2011–2021.
Metals,Nickel,Harbour porpoise,No observed change in concentrations. No threshold available; not currently able to assess risk. Time period: 2009 and 2011–2021.
Metals,Copper,Harbour porpoise,
Metals,Zinc,Harbour porpoise,
Pesticides and biocides,Pesticides,Harbour porpoise,
Pesticides and biocides,SGARs,Harbour porpoise,
